date,value
2020-10-23,16306.522058000002
2020-10-22,16583.971896
2020-10-21,16308.674557999997
2020-10-20,16203.357788
2020-10-19,16265.447562
2020-10-16,16160.504127
2020-10-15,16383.246016
2020-10-14,17453.47851
2020-10-13,18030.881016
2020-10-12,18105.442032000003
2020-10-9,17351.877421
2020-10-8,17155.499531
2020-10-7,16494.916502999997
2020-10-6,15731.58788
2020-10-5,16025.787214
2020-10-2,15204.312301999998
2020-10-1,15184.838869000001
2020-9-30,15238.681161
2020-9-29,15176.739979999997
2020-9-28,15194.768366999997
2020-9-25,14896.762580999999
2020-9-24,14598.779801999997
2020-9-23,14808.748925000002
2020-9-22,15493.029679999998
2020-9-21,15281.278128
2020-9-18,15464.910049
2020-9-17,15640.140315999999
2020-9-16,15808.599317999999
2020-9-15,15568.370689999998
2020-9-14,15209.03701
2020-9-11,15023.651354999998
2020-9-10,15319.890720999998
2020-9-9,15311.939777999998
2020-9-8,14789.442618000001
2020-9-4,14941.421853
2020-9-3,15396.255411999999
2020-9-2,15838.990188
2020-9-1,15961.654139999999
2020-8-31,15970.523784
2020-8-28,15971.845639000001
2020-8-27,15564.304431000002
2020-8-26,15382.451876
2020-8-25,15553.785057000003
2020-8-24,15232.587796
2020-8-21,15552.954279999998
2020-8-20,15788.502701
2020-8-19,16196.976147000001
2020-8-18,15758.930037999999
2020-8-17,15629.401995999999
2020-8-14,15103.549918
2020-8-13,15190.349829000003
2020-8-12,14491.966902
2020-8-11,14176.565826
2020-8-10,14579.122206
2020-8-7,14176.592924999997
2020-8-6,14198.963418000001
2020-8-5,14139.061016999998
2020-8-4,14192.909130999999
2020-8-3,14008.783231000001
2020-7-31,13822.445139000001
2020-7-30,14072.081976
2020-7-29,13871.537842000002
2020-7-28,14531.487342
2020-7-27,14035.139175000002
2020-7-24,13282.337905999997
2020-7-23,13559.717971999999
2020-7-22,13567.900947
2020-7-21,13630.926612
2020-7-20,13426.440235999999
2020-7-17,13234.454860999998
2020-7-16,13130.059886000003
2020-7-15,13261.416078000002
2020-7-14,12714.726024
2020-7-13,12568.516915999999
2020-7-10,12346.193839
2020-7-9,12092.568318
2020-7-8,12362.157949000002
2020-7-7,12362.631100000002
2020-7-6,12685.554748
2020-7-2,12358.557332999999
2020-7-1,12486.624094000003
2020-6-30,12057.452821
2020-6-29,12105.641902000001
2020-6-26,11814.344114000001
2020-6-25,12325.57343
2020-6-24,12285.722381
2020-6-23,12754.400607
2020-6-22,12794.673675000002
2020-6-19,12789.497582
2020-6-18,13062.589836999998
2020-6-17,12830.865570000002
2020-6-16,13033.220974999997
2020-6-15,12840.499796
2020-6-12,12451.309207999999
2020-6-11,12180.069016
2020-6-10,13529.604878
2020-6-9,13764.789165
2020-6-8,13749.741057000001
2020-6-5,12705.051941
2020-6-4,12563.565291
2020-6-3,12559.264057
2020-6-2,12412.552016
2020-6-1,12227.500114
2020-5-29,11744.312502999997
2020-5-28,12041.871163
2020-5-27,11971.026932
2020-5-26,11944.750578
2020-5-22,11590.350621
2020-5-21,11071.963972000001
2020-5-20,10683.648362999998
2020-5-19,10400.912867000001
2020-5-18,10350.236175
2020-5-15,9833.419456999998
2020-5-14,9357.637837
2020-5-13,9103.582946999999
2020-5-12,9573.223085999998
2020-5-11,9641.965529000001
2020-5-8,9919.360768000002
2020-5-7,10110.410077
2020-5-6,10172.285894999999
2020-5-5,10146.34398
2020-5-4,10060.620231
2020-5-1,9804.754169
2020-4-30,10292.240975
2020-4-29,10425.847866000002
2020-4-28,10145.503482
2020-4-27,10320.770903
2020-4-24,9894.133059
2020-4-23,9727.487845
2020-4-22,9525.754175
2020-4-21,9380.056797
2020-4-20,9645.036641
2020-4-17,9805.152129999999
2020-4-16,9684.334865999997
2020-4-15,9820.276662999999
2020-4-14,10027.364728999999
2020-4-13,9603.921075999999
2020-4-9,9452.756337
2020-4-8,9115.141626
2020-4-7,8976.613261
2020-4-6,8961.81436
2020-4-3,8674.171595999998
2020-4-2,8937.417474000002
2020-4-1,8794.430163
2020-3-31,9621.204128000001
2020-3-30,10076.612192999999
2020-3-27,10386.874529000002
2020-3-26,10728.264892000001
2020-3-25,9493.753204
2020-3-24,8760.235883999998
2020-3-23,8024.866990000001
2020-3-20,7824.069651
2020-3-19,7067.6599750000005
2020-3-18,6511.01387
2020-3-17,7346.7150280000005
2020-3-16,7266.375329
2020-3-13,8526.423755
2020-3-12,7992.434098000001
2020-3-11,9365.112967000001
2020-3-10,10310.495876
2020-3-9,9951.784927000002
2020-3-6,11267.212028
2020-3-5,11806.949332
2020-3-4,12457.293853000001
2020-3-3,11922.174121
2020-3-2,12288.137313
2020-2-28,12065.743446
2020-2-27,12002.236131000001
2020-2-26,12695.249111
2020-2-25,12814.122081
2020-2-24,13480.217529000001
2020-2-21,14141.74509
2020-2-20,14512.689992
2020-2-19,14403.280796
2020-2-18,14185.819577999999
2020-2-14,14129.134871
2020-2-13,13503.440014000002
2020-2-12,13362.003422000002
2020-2-11,13400.934113999998
2020-2-10,13274.196881999998
2020-2-7,13543.899836999999
2020-2-6,13947.480072999999
2020-2-5,14181.089476
2020-2-4,14318.270138999998
2020-2-3,14046.095232
2020-1-31,13955.299984
2020-1-30,14405.675089999997
2020-1-29,14451.762609999998
2020-1-28,14470.153234000001
2020-1-27,13777.410048999998
2020-1-24,14110.094977999997
2020-1-23,14739.224745
2020-1-22,14827.584287999998
2020-1-21,14516.319441
2020-1-17,14697.113424000001
2020-1-16,14620.238992000002
2020-1-15,14715.903025000001
2020-1-14,14198.624125999999
2020-1-13,14552.440101999999
2020-1-10,13669.701043000003
2020-1-9,13605.959731
2020-1-8,13420.049825
2020-1-7,13178.445014
2020-1-6,13644.049743000003
2020-1-3,13792.040033
2020-1-2,13822.304821
2019-12-31,13943.832647
2019-12-30,13118.251090000002
2019-12-27,13423.384716
2019-12-26,13415.153785999999
2019-12-24,13579.49002
2019-12-23,13330.043142
2019-12-20,13323.763369
2019-12-19,13464.377722000001
2019-12-18,13266.27688
2019-12-17,13720.958607999999
2019-12-16,13944.232855999999
2019-12-13,14214.968101999997
2019-12-12,13988.180926000003
2019-12-11,13462.833152000003
2019-12-10,13490.729914000001
2019-12-9,13570.784004000001
2019-12-6,13136.523588
2019-12-5,12913.888925000001
2019-12-4,13179.044924
2019-12-3,13508.451680000002
2019-12-2,13470.944911999999
2019-11-29,13715.775232
2019-11-27,13694.282080999998
2019-11-26,13614.898842999999
2019-11-25,13588.823037
2019-11-22,13694.494984
2019-11-21,14331.417877999998
2019-11-20,13688.04998
2019-11-19,13315.543595999998
2019-11-18,12810.984672
2019-11-15,13419.819963
2019-11-14,13450.653051
2019-11-13,13607.760151
2019-11-12,14024.702975
2019-11-11,14522.184851
2019-11-8,15009.880580999998
2019-11-7,14184.460816
2019-11-6,13936.083786
2019-11-5,14357.062769000002
2019-11-4,14231.312929
2019-11-1,14423.662957
2019-10-31,14363.065480000001
2019-10-30,14475.448551
2019-10-29,14342.969167000001
2019-10-28,14573.615113999998
2019-10-25,14880.457378
2019-10-24,14512.434908
2019-10-23,14438.860073000002
2019-10-22,14022.740139000001
2019-10-21,14154.361866000001
2019-10-18,13802.014068999997
2019-10-17,14267.270955
2019-10-16,13997.798015999999
2019-10-15,14583.986875
2019-10-14,13263.108806
2019-10-11,13709.000713000001
2019-10-10,13543.589971
2019-10-9,15302.565126
2019-10-8,15298.429939
2019-10-7,15734.674871000001
2019-10-4,15965.897447
2019-10-3,15934.35789
2019-10-2,15643.067116999999
2019-10-1,15301.516027999998
2019-9-30,15799.420155
2019-9-27,16413.262358
2019-9-26,16774.181866
2019-9-25,16658.841951000002
2019-9-24,16908.260473000002
2019-9-23,18009.241443
2019-9-20,18222.412154999998
2019-9-19,18132.518716000002
2019-9-18,18163.324122
2019-9-17,18180.215496
2019-9-16,18513.563108000002
2019-9-13,18966.453504
2019-9-12,18823.413963
2019-9-11,19494.627749
2019-9-10,19506.720114
2019-9-9,19177.096069000003
2019-9-6,19460.125083000003
2019-9-5,19550.518272
2019-9-4,19126.680126
2019-9-3,18959.703025
2019-8-30,17554.812216
2019-8-29,18393.952092
2019-8-28,18177.553351000002
2019-8-27,17687.103814
2019-8-26,18418.486182
2019-8-23,18425.932925999998
2019-8-22,18686.641484
2019-8-21,19236.151318
2019-8-20,18924.221203999998
2019-8-19,18882.069857
2019-8-16,18743.488604
2019-8-15,18117.209866
2019-8-14,19107.833143
2019-8-13,20093.283236
2019-8-12,19127.647165
2019-8-9,19321.018028000002
2019-8-8,19758.534556
2019-8-7,19793.860843
2019-8-6,20032.501814
2019-8-5,19309.850081
2019-8-2,19912.715923
2019-8-1,17442.53978
2019-7-31,18040.10591
2019-7-30,18226.170280000002
2019-7-29,17987.689836999998
2019-7-26,18127.730143000004
2019-7-25,18176.029954999998
2019-7-24,18509.363898000003
2019-7-23,18224.359931
2019-7-22,19145.454978
2019-7-19,19959.51198
2019-7-18,20053.159486
2019-7-17,20393.780916
2019-7-16,20031.104961
2019-7-15,19897.64587
2019-7-12,19670.780081999997
2019-7-11,20893.258911
2019-7-10,20782.504718
2019-7-9,20982.239457
2019-7-8,20607.845987000004
2019-7-5,21172.420004
2019-7-3,21253.364557
2019-7-2,20789.439929
2019-7-1,21419.509813
2019-6-28,21270.503922
2019-6-27,21112.288982
2019-6-26,20955.333919000004
2019-6-25,21242.024025000002
2019-6-24,21037.746842999997
2019-6-21,20613.469845000003
2019-6-20,21815.716359
2019-6-19,21144.607822
2019-6-18,20873.75737
2019-6-17,20885.034471
2019-6-14,20026.142147000002
2019-6-13,20150.65124
2019-6-12,20654.299967
2019-6-11,21035.620130000003
2019-6-10,21475.697917999998
2019-6-7,20967.940081999997
2019-6-6,20344.679612
2019-6-5,20178.520114000003
2019-6-4,19881.921857
2019-6-3,19483.245043
2019-5-31,19743.439947000003
2019-5-30,20273.529905999996
2019-5-29,20158.963548999996
2019-5-28,21005.804975000003
2019-5-24,21058.837545000002
2019-5-23,20116.760052999998
2019-5-22,20820.001303999998
2019-5-21,20871.273902
2019-5-20,20723.829951
2019-5-17,21182.657980999997
2019-5-16,21496.345638
2019-5-15,21433.622094
2019-5-14,21006.833259000003
2019-5-13,20528.134886
2019-5-10,21296.864837
2019-5-9,20431.477894000003
2019-5-8,20989.089902000003
2019-5-7,20788.656882
2019-5-6,21488.313869999998
2019-5-3,21762.077833000003
2019-5-2,21544.668049000004
2019-5-1,22166.220041
2019-4-30,22287.269970999998
2019-4-29,22381.330228
2019-4-26,22456.72989
2019-4-25,22316.479870000003
2019-4-24,22360.600167
2019-4-23,22266.582802000004
2019-4-22,22375.687767
2019-4-18,21923.634906
