date,value
2019-11-19,311.929993
2019-11-18,312.019989
2019-11-15,311.790009
2019-11-14,309.549988
2019-11-13,309.100006
2019-11-12,309
2019-11-11,308.350006
2019-11-8,308.940002
2019-11-7,308.179993
2019-11-6,307.100006
2019-11-5,307.029999
2019-11-4,307.369995
2019-11-1,306.140015
2019-10-31,303.329987
2019-10-30,304.140015
2019-10-29,303.209991
2019-10-28,303.299988
2019-10-25,301.600006
2019-10-24,300.369995
2019-10-23,299.880005
2019-10-22,299.01001
2019-10-21,299.98999
2019-10-18,297.970001
2019-10-17,299.279999
2019-10-16,298.399994
2019-10-15,298.880005
2019-10-14,295.950012
2019-10-11,296.279999
2019-10-10,293.23999
2019-10-9,291.269989
2019-10-8,288.529999
2019-10-7,293.079987
2019-10-4,294.350006
2019-10-3,290.420013
2019-10-2,288.059998
2019-10-1,293.23999
2019-9-30,296.769989
2019-9-27,295.399994
2019-9-26,297
2019-9-25,297.619995
2019-9-24,295.869995
2019-9-23,298.209991
2019-9-20,298.279999
2019-9-19,301.079987
2019-9-18,301.100006
2019-9-17,300.920013
2019-9-16,300.160004
2019-9-13,301.089996
2019-9-12,301.290009
2019-9-11,300.25
2019-9-10,298.130005
2019-9-9,298.200012
2019-9-6,298.049988
2019-9-5,297.820007
2019-9-4,294.040009
2019-9-3,290.73999
2019-8-30,292.450012
2019-8-29,292.579987
2019-8-28,288.890015
2019-8-27,286.869995
2019-8-26,288
2019-8-23,284.850006
2019-8-22,292.359985
2019-8-21,292.450012
2019-8-20,290.089996
2019-8-19,292.329987
2019-8-16,288.850006
2019-8-15,284.649994
2019-8-14,283.899994
2019-8-13,292.549988
2019-8-12,288.070007
2019-8-9,291.619995
2019-8-8,293.619995
2019-8-7,287.970001
2019-8-6,287.799988
2019-8-5,283.820007
2019-8-2,292.619995
2019-8-1,294.839996
2019-7-31,297.429993
2019-7-30,300.720001
2019-7-29,301.459991
2019-7-26,302.01001
2019-7-25,300
2019-7-24,301.440002
2019-7-23,300.029999
2019-7-22,297.899994
2019-7-19,297.170013
2019-7-18,298.829987
2019-7-17,297.73999
2019-7-16,299.779999
2019-7-15,300.75
2019-7-12,300.649994
2019-7-11,299.309998
2019-7-10,298.609985
2019-7-9,297.190002
2019-7-8,296.820007
2019-7-5,298.459991
2019-7-3,298.799988
2019-7-2,296.429993
2019-7-1,295.660004
2019-6-28,293
2019-6-27,291.5
2019-6-26,290.470001
2019-6-25,290.76001
2019-6-24,293.640015
2019-6-21,294
2019-6-20,295.859985
2019-6-19,293.059998
2019-6-18,292.399994
2019-6-17,289.369995
2019-6-14,289.26001
2019-6-13,289.579987
2019-6-12,288.390015
2019-6-11,288.899994
2019-6-10,288.970001
2019-6-7,287.649994
2019-6-6,284.799988
2019-6-5,282.959991
2019-6-4,280.529999
2019-6-3,274.570007
2019-5-31,275.269989
2019-5-30,279.029999
2019-5-29,278.269989
2019-5-28,280.149994
2019-5-24,282.779999
2019-5-23,282.140015
2019-5-22,285.630005
2019-5-21,286.51001
2019-5-20,283.950012
2019-5-17,285.839996
2019-5-16,287.700012
2019-5-15,285.059998
2019-5-14,283.399994
2019-5-13,280.859985
2019-5-10,288.100006
2019-5-9,286.660004
2019-5-8,287.529999
2019-5-7,287.929993
2019-5-6,292.820007
2019-5-3,294.029999
2019-5-2,291.179993
2019-5-1,291.809998
2019-4-30,294.019989
2019-4-29,293.869995
2019-4-26,293.410004
2019-4-25,292.049988
2019-4-24,292.230011
2019-4-23,292.880005
2019-4-22,290.269989
2019-4-18,290.019989
2019-4-17,289.450012
2019-4-16,290.160004
2019-4-15,289.970001
2019-4-12,290.160004
2019-4-11,288.209991
2019-4-10,288.290009
2019-4-9,287.309998
2019-4-8,288.790009
2019-4-5,288.570007
2019-4-4,287.179993
2019-4-3,286.420013
2019-4-2,285.970001
2019-4-1,285.829987
2019-3-29,282.480011
2019-3-28,280.709991
2019-3-27,279.649994
2019-3-26,281.119995
2019-3-25,279.040009
2019-3-22,279.25
2019-3-21,284.730011
2019-3-20,281.549988
2019-3-19,282.399994
2019-3-18,282.329987
2019-3-15,281.309998
2019-3-14,281.160004
2019-3-13,281.339996
2019-3-12,279.48999
2019-3-11,278.440002
2019-3-8,274.459991
2019-3-7,275.01001
2019-3-6,277.329987
2019-3-5,279.019989
2019-3-4,279.399994
2019-3-1,280.420013
2019-2-28,278.679993
2019-2-27,279.200012
2019-2-26,279.320007
2019-2-25,279.519989
2019-2-22,279.140015
2019-2-21,277.420013
2019-2-20,278.410004
2019-2-19,277.850006
2019-2-15,277.369995
2019-2-14,274.380005
2019-2-13,274.98999
2019-2-12,274.100006
2019-2-11,270.619995
2019-2-8,270.470001
2019-2-7,270.140015
2019-2-6,272.73999
2019-2-5,273.100006
2019-2-4,271.959991
2019-2-1,270.059998
2019-1-31,269.929993
2019-1-30,267.579987
2019-1-29,263.410004
2019-1-28,263.76001
2019-1-25,265.779999
2019-1-24,263.549988
2019-1-23,263.410004
2019-1-22,262.859985
2019-1-18,266.459991
2019-1-17,262.959991
2019-1-16,260.980011
2019-1-15,260.350006
2019-1-14,257.399994
2019-1-11,258.980011
2019-1-10,258.880005
2019-1-9,257.970001
2019-1-8,256.769989
2019-1-7,254.380005
2019-1-4,252.389999
2019-1-3,244.210007
2019-1-2,250.179993
2018-12-31,249.919998
2018-12-28,247.75
2018-12-27,248.070007
2018-12-26,246.179993
2018-12-24,234.339996
2018-12-21,240.699997
2018-12-20,247.169998
2018-12-19,251.259995
2018-12-18,255.080002
2018-12-17,255.360001
2018-12-14,260.470001
2018-12-13,265.369995
2018-12-12,265.459991
2018-12-11,264.130005
2018-12-10,264.070007
2018-12-7,263.570007
2018-12-6,269.839996
2018-12-4,270.25
2018-12-3,279.299988
2018-11-30,275.649994
2018-11-29,273.980011
2018-11-28,274.579987
2018-11-27,268.399994
2018-11-26,267.5
2018-11-23,263.25
2018-11-21,265.019989
2018-11-20,264.119995
2018-11-19,269.100006
2018-11-16,273.730011
2018-11-15,273.019989
2018-11-14,270.200012
2018-11-13,272.059998
2018-11-12,272.570007
2018-11-9,277.76001
2018-11-8,280.5
2018-11-7,281.01001
2018-11-6,275.119995
2018-11-5,273.390015
2018-11-2,271.890015
2018-11-1,273.51001
2018-10-31,270.630005
2018-10-30,267.769989
2018-10-29,263.859985
2018-10-26,265.329987
2018-10-25,270.079987
2018-10-24,265.320007
2018-10-23,273.609985
2018-10-22,275.01001
2018-10-19,276.25
2018-10-18,276.399994
2018-10-17,280.450012
2018-10-16,280.399994
2018-10-15,274.399994
2018-10-12,275.950012
2018-10-11,272.170013
2018-10-10,278.299988
2018-10-9,287.399994
2018-10-8,287.820007
2018-10-5,287.820007
2018-10-4,289.440002
2018-10-3,291.720001
2018-10-2,291.559998
2018-10-1,291.730011
2018-9-28,290.720001
2018-9-27,290.690002
2018-9-26,289.880005
2018-9-25,290.75
2018-9-24,291.019989
2018-9-21,291.98999
2018-9-20,293.579987
2018-9-19,291.220001
2018-9-18,290.910004
2018-9-17,289.339996
2018-9-14,290.880005
2018-9-13,290.829987
2018-9-12,289.119995
2018-9-11,289.049988
2018-9-10,288.100006
2018-9-7,287.600006
2018-9-6,288.160004
2018-9-5,289.029999
2018-9-4,289.809998
2018-8-31,290.309998
2018-8-30,290.299988
2018-8-29,291.480011
2018-8-28,289.920013
2018-8-27,289.779999
2018-8-24,287.51001
2018-8-23,285.790009
2018-8-22,286.170013
2018-8-21,286.339996
2018-8-20,285.670013
2018-8-17,285.059998
2018-8-16,284.059998
2018-8-15,281.779999
2018-8-14,283.899994
2018-8-13,282.100006
2018-8-10,283.160004
2018-8-9,285.070007
2018-8-8,285.459991
2018-8-7,285.579987
2018-8-6,284.640015
2018-8-3,283.600006
2018-8-2,282.390015
2018-8-1,280.859985
2018-7-31,281.329987
2018-7-30,279.950012
2018-7-27,281.420013
2018-7-26,283.339996
2018-7-25,284.01001
2018-7-24,281.609985
2018-7-23,280.200012
2018-7-20,279.679993
2018-7-19,280
2018-7-18,281.059998
2018-7-17,280.470001
2018-7-16,279.339996
